state_code,state_name,region,nationality,year,enrolments,state_total,rank_in_state,share_of_state
WA,Western Australia,South-East Asia,Vietnam,2025,2835,89530,9,0.031665363565285376
WA,Western Australia,Sub-Saharan Africa,Kenya,2025,2535,89530,10,0.028314531441974756
WA,Western Australia,Southern and Central Asia,Sri Lanka,2025,2310,89530,11,0.02580140734949179
WA,Western Australia,South-East Asia,Indonesia,2025,2306,89530,12,0.025756729587847648
WA,Western Australia,Americas,Brazil,2025,2295,89530,13,0.02563386574332626
WA,Western Australia,South-East Asia,Malaysia,2025,1712,89530,14,0.019122081983692616
WA,Western Australia,North-East Asia,Japan,2025,1409,89530,15,0.015737741539148888
WA,Western Australia,South-East Asia,Singapore,2025,1264,89530,16,0.014118172679548754
WA,Western Australia,North-East Asia,Hong Kong SAR,2025,1239,89530,17,0.01383893666927287
WA,Western Australia,Sub-Saharan Africa,Mauritius,2025,1042,89530,18,0.011638556908298894
WA,Western Australia,North-East Asia,Taiwan,2025,1009,89530,19,0.011269965374734726
WA,Western Australia,North-East Asia,"Korea, Republic of (South)",2025,833,89530,20,0.009304143862392493
